title,url,points,num_comments,category,created_at,search_term,metric
"Show HN: I Wrote a Field Manual on Self-Hosting(Immich,ZFS,Docker)Free on Kindle",https://www.amazon.com/dp/B0FY3XXPNV,3,0,LEVEL_1_AWARE,2025-11-29T23:35:52Z,subscription fatigue,subscription_overload
Show HN: Redact PDF 100% Locally. No Cloud Upload,https://redactlocal.parseextract.com,2,2,LEVEL_1_AWARE,2026-01-18T16:00:36Z,subscription fatigue,subscription_overload
"Show HN: Monetize your Chrome extensions with ""App Pass""",https://joinapppass.com/partner,1,0,LEVEL_1_AWARE,2026-01-26T15:33:30Z,subscription fatigue,subscription_overload
GitHub Actions for self-hosted runners price increase postponed,https://pricetimeline.com/news/189,134,1,LEVEL_1_AWARE,2025-12-18T08:18:46Z,price increase,subscription_overload
Covering electricity price increases from our data centers,https://www.anthropic.com/news/covering-electricity-price-increases,127,107,LEVEL_1_AWARE,2026-02-11T21:12:59Z,price increase,subscription_overload
Raspberry Pi raises prices by as much as 70% in response to RAM price increases,https://liliputing.com/raspberry-pi-raises-prices-by-as-much-as-70-in-response-to-ram-price-increases/,14,2,LEVEL_1_AWARE,2026-02-02T18:09:51Z,price increase,subscription_overload
Proposed Price Increases for Sourcehut,https://sourcehut.org/blog/2025-12-01-proposed-pricing-changes/,8,0,LEVEL_1_AWARE,2025-12-01T16:59:40Z,price increase,subscription_overload
Japanese commercial font company acquisition leads to over 50x price increase,https://automaton-media.com/en/news/japanese-game-developers-face-ridiculously-high-font-license-fees-following-us-acquisition-of-major-domestic-provider-live-service-games-to-take-the-biggest-blow/,6,2,LEVEL_1_AWARE,2025-12-04T09:23:49Z,price increase,subscription_overload
Tariffs strike again: Companies warn of price increases in 2026,https://www.cnn.com/2026/02/17/business/video/berman-egan-tarrifs-price-hikes-cnc,5,0,LEVEL_1_AWARE,2026-02-18T19:36:32Z,price increase,subscription_overload
Bitwarden 200% Price Increase,https://bitwarden.com/blog/bitwarden-launches-enhanced-premium-plan/,4,7,LEVEL_1_AWARE,2026-01-22T18:14:06Z,price increase,subscription_overload
GitHub delays GHA price increase,https://twitter.com/github/status/2001372894882918548,2,4,LEVEL_1_AWARE,2025-12-18T21:03:04Z,price increase,subscription_overload
Speculation about AI application: Rapid [stock] price increase of Raspberry Pi,https://www.heise.de/en/news/Speculation-about-AI-application-Rapid-price-increase-of-Raspberry-Pi-11180336.html,2,0,LEVEL_1_AWARE,2026-02-18T10:14:30Z,price increase,subscription_overload
Anthropic promises to pay for electricity price increases due to data centers,https://www.tomshardware.com/tech-industry/artificial-intelligence/anthropic-promises-to-pay-for-electricity-price-increases-due-to-its-ai-data-centers-firm-to-pay-100-percent-of-its-grid-infrastructure-costs-produce-new-power-sources-as-sector-predicted-to-hit-50-gw-in-coming-years,2,0,LEVEL_1_AWARE,2026-02-12T13:59:17Z,price increase,subscription_overload
Price increase on .AI domains by NameCheap,https://news.ycombinator.com/item?id=46883324,2,0,LEVEL_1_AWARE,2026-02-04T08:58:41Z,price increase,subscription_overload
Google Cloud announces 2x price increase for CDN and peering in North America,https://wallstreetcn.com/articles/3764292,1,2,LEVEL_1_AWARE,2026-01-27T14:26:44Z,price increase,subscription_overload
Ask HN: Do you have an exit plan for Slack?,https://news.ycombinator.com/item?id=46378152,8,6,LEVEL_1_AWARE,2025-12-24T18:53:46Z,price increase,subscription_overload
Ask HN: When does changing pricing models break user trust?,https://news.ycombinator.com/item?id=46712071,6,11,LEVEL_1_AWARE,2026-01-21T21:49:41Z,price increase,subscription_overload
"Show HN: Mool (Loom clone). Free, offline-only, no signup",https://mool.fly.dev/,5,1,LEVEL_1_AWARE,2026-02-14T10:04:09Z,price increase,subscription_overload
Compute price/performance is flat. Now what?,https://news.ycombinator.com/item?id=46343115,3,0,LEVEL_1_AWARE,2025-12-21T08:09:52Z,price increase,subscription_overload
"AWS raises GPU prices 15% on a Saturday, hopes you weren't paying attention",https://www.theregister.com/2026/01/05/aws_price_increase/,755,481,LEVEL_1_AWARE,2026-01-06T11:42:35Z,price increase,subscription_overload
"President Trump says he wants to drive housing prices up, not down",https://www.usatoday.com/story/news/politics/2026/01/29/trump-housing-prices-increase-affordability-economy-interest-mortgage-rates/88418610007/,20,2,LEVEL_1_AWARE,2026-01-30T00:57:25Z,price increase,subscription_overload
"AWS raises GPU prices 15% on a Saturday, hopes you weren't paying attention",https://www.theregister.com/2026/01/05/aws_price_increase/,11,0,LEVEL_1_AWARE,2026-01-05T21:52:17Z,price increase,subscription_overload
RAM Is Ruining Everything,https://www.theverge.com/report/839506/ram-shortage-price-increases-pc-gaming-smartphones,9,1,LEVEL_1_AWARE,2025-12-09T21:55:53Z,price increase,subscription_overload
The Break Is Over. Companies Are Jacking Up Prices Again,https://www.wsj.com/business/price-increases-consumers-businesses-b70e4542,5,2,LEVEL_1_AWARE,2026-02-16T13:35:29Z,price increase,subscription_overload
HDD prices spike as AI infrastructure and China's PC push collide,https://www.tomshardware.com/pc-components/hdds/hdd-prices-spike-as-ai-infrastructure-and-chinas-pc-push-collide-hard-drives-record-biggest-price-increase-in-eight-quarters-suppliers-warn-pressure-will-continue,4,0,LEVEL_1_AWARE,2025-12-15T17:40:25Z,price increase,subscription_overload
Soaring lettuce costs force restaurant to drop salads,https://www.kcci.com/article/eddyville-restaurant-lettuce-price-increase/69491047,4,0,LEVEL_1_AWARE,2025-12-08T16:52:44Z,price increase,subscription_overload
RAM Is Ruining Everything,https://www.theverge.com/report/839506/ram-shortage-price-increases-pc-gaming-smartphones,3,0,LEVEL_1_AWARE,2025-12-10T17:56:56Z,price increase,subscription_overload
Raspberry Pi 4 dual RAM variant introduced to mitigate RAM supply challenges,https://www.cnx-software.com/2026/02/05/raspberry-pi-4-dual-ram-variant-introduced-to-mitigate-ram-price-increases-and-supply-challenges/,2,0,LEVEL_1_AWARE,2026-02-05T14:39:04Z,price increase,subscription_overload
It's getting worse – Retail DDR5 memory prices continue to increase,https://overclock3d.net/news/memory/its-getting-worse-retail-ddr5-memory-prices-continue-to-increase/,2,0,LEVEL_1_AWARE,2025-12-23T00:23:22Z,price increase,subscription_overload
