uri,text,author_handle,like_count,reply_count,repost_count,category,created_at,search_term,metric
at://did:plc:eimdc3bx5o2f2x3bnmbc6oov/app.bsky.feed.post/3mky5kqi35k26,"""If there's a steady paycheck in it, I'll believe in anything you say."" said Tex to his new crew.... but now, in color!!",texansoda.bsky.social,383,13,81,LEVEL_1_AWARE,2026-05-03T21:56:04.260Z,paycheck to paycheck,wage_stagnation
at://did:plc:2kmvpblow4pidsudohmmok2m/app.bsky.feed.post/3mkw35x5ztc2p,"Drop your prediction for the next headline about how living paycheck to paycheck is actually good: 

Forget cribs: The trendiest parents are putting their babies to sleep in dresser drawers!",andizeisler.bsky.social,70,9,16,LEVEL_2_STRUGGLING,2026-05-03T02:07:48.105Z,paycheck to paycheck,wage_stagnation
at://did:plc:57dd32nx3my4vkyq25kh2fwr/app.bsky.feed.post/3mkumm2cakc22,"Adam Mockler is pure Kryptonite 

For Scott Jennings and all these old fools accustomed to

Bulldozing and bullshitting and bullying their way to a paycheck on these fake ""news"" shows

And I am so here for it",debby33.bsky.social,848,35,175,LEVEL_1_AWARE,2026-05-02T12:14:35.285Z,paycheck to paycheck,wage_stagnation
at://did:plc:h7qtoo7nxqxarrsijohjhbw4/app.bsky.feed.post/3mksofffrq32x,"Working Americans on Trump's economy:

""It's fair to say everybody is experiencing an increase in their costs. You, me, workers and working families are really struggling right now... I think all of us are really just living paycheck to paycheck. This economy has been really tough.""",factpostnews.bsky.social,50,1,19,LEVEL_2_STRUGGLING,2026-05-01T17:41:20.028934647Z,paycheck to paycheck,wage_stagnation
at://did:plc:2adojyroadzxnenac7l5u6hz/app.bsky.feed.post/3mkyhsfrqek2r,It's hard to see something when your paycheck is predicated on you not seeing it.,adozeneggs.bsky.social,16,0,0,LEVEL_1_AWARE,2026-05-04T00:59:18.899Z,paycheck to paycheck,wage_stagnation
at://did:plc:7yjc775jqugurbpx6m2vfl4o/app.bsky.feed.post/3mkt2ihruy22f,"I don’t get why the hardest working, most underpaid ppl, whore living paycheck to paycheck should be the only ppl paying taxes. 

The SUPER WEALTHY GET ALL THE BENEFITS OF OUR TAX MONEY! 

If they were making it up somehow, to all the ppl in the U.S., then I could see it. However, THEY’RE NOT.",kathiincali.bsky.social,54,1,5,LEVEL_2_STRUGGLING,2026-05-01T21:17:48.120Z,paycheck to paycheck,wage_stagnation
at://did:plc:iraauv5jp2mavnqdveeka6pp/app.bsky.feed.post/3mkwonp6lh224,"Bruh I hope @kcg.bsky.social sues for this one, it's for the good of humanity to take down any and all genAI things, and this couldn't be more blatant, may as well get a fat paycheck from these evil freaks",voidburger.com,70,0,7,LEVEL_1_AWARE,2026-05-03T07:56:37.697Z,paycheck to paycheck,wage_stagnation
at://did:plc:4u3hwe3p7oy3hoy3amlw7rp2/app.bsky.feed.post/3mkj32bdqhm2h,"Reminder: Elon Musk is worth nearly $800 billion.

Tesla reported paying ZERO federal income tax on $5.7 billion of U.S. income in 2025.

Meanwhile, nearly a quarter of Americans are living paycheck to paycheck and household debt has risen to a record high.

See the problem here?",rbreich.bsky.social,5418,204,1951,LEVEL_2_STRUGGLING,2026-04-27T22:01:07.924475Z,paycheck to paycheck,wage_stagnation
at://did:plc:w63panfwcj5opnchxn7r4dxt/app.bsky.feed.post/3mkvnq2kwx22m,I am on Medicare. I still work 65 hours per week. Medicare is income based. I pay almost $600 a month for my Medicare. I also contributed to Medicare every paycheck I received over the 44 years I've been working. I think this is enough!,arletajames.bsky.social,57,1,6,LEVEL_1_AWARE,2026-05-02T22:07:23.268Z,paycheck to paycheck,wage_stagnation
at://did:plc:jjheidmljqrsatjic4e6hmm2/app.bsky.feed.post/3mks3o53nn42o,"Sen. Chris Murphy delivered a gut-punch Senate floor speech connecting Trump's Iran war directly to $4.30 gas, showing how families already living paycheck to paycheck are being pushed into full financial crisis by choices Trump made deliberately.",wellborn.net,19,0,7,LEVEL_2_STRUGGLING,2026-05-01T12:06:10.000Z,paycheck to paycheck,wage_stagnation
at://did:plc:e7l7phc2iyzctlka3njd6nrm/app.bsky.feed.post/3mkqxozbtkc2e,"Had to take out a paycheck advance, 10% of which the time clock app my day job uses will keep, to buy gas so I can go to day job. Cool country",adabear-art.bsky.social,45,2,1,LEVEL_1_AWARE,2026-05-01T01:22:27.093Z,paycheck to paycheck,wage_stagnation
at://did:plc:4twlliy3u54dhcmlx2sgy3ke/app.bsky.feed.post/3mko3ohkf5s2x,"@chrismurphyct.bsky.social: The scoreboard is the price of gas.

For one-third of Americans living paycheck to paycheck, even a couple months of $5–$6 gas fundamentally changes your life.",democrats.senate.gov,31,6,7,LEVEL_2_STRUGGLING,2026-04-29T21:55:44.251Z,paycheck to paycheck,wage_stagnation
