uri,text,author_handle,like_count,reply_count,repost_count,category,created_at,search_term,metric
at://did:plc:d7qq4ucfnqd6btk7jiw2ifk5/app.bsky.feed.post/3mkbb5w4w2c2w,- a massive housing crisis,macsquirelera.bsky.social,45,3,1,LEVEL_2_STRUGGLING,2026-04-24T19:29:14.966Z,housing crisis,housing_despair
at://did:plc:a5dbj5y33y7phxqrxaekj5lf/app.bsky.feed.post/3mkeebdewjs2s,My son’s birthday present for me. He knows me well.,ournewhomecoach.bsky.social,46,18,3,LEVEL_1_AWARE,2026-04-26T01:02:49.963Z,housing crisis,housing_despair
at://did:plc:kf7a7dwck623lwbv3yii5q4f/app.bsky.feed.post/3mkb3i4mhbs2p,"Trump's HUD is attempting to strip housing support from eligible, mixed-status immigrant families.

Not only is it cruel - it would worsen the housing crisis.

I grew up in public housing, and I'll always fight for people to live in dignity.",massago.bsky.social,72,2,24,LEVEL_2_STRUGGLING,2026-04-24T17:47:34.860Z,housing crisis,housing_despair
at://did:plc:ahef2djf4ozv366xhj5q4kqr/app.bsky.feed.post/3mkgbpm7p2k2n,"Before I got into office, homelessness only went up, and housing was underbuilt. City Hall ignored this crisis for decades, which placed a heavy financial strain on the City through ambulance rides, crisis intervention calls, and trash pickup associated with encampments.",mayor.lacity.gov,48,1,6,LEVEL_3_CRISIS,2026-04-26T19:22:14.856Z,housing crisis,housing_despair
at://did:plc:f6yekxxpke7gyas3d7qeipty/app.bsky.feed.post/3mkdqjnsbkc22,"Healthcare crisis? Doug Ford.

Housing crisis? Doug Ford.

Schools and post-secondary a mess? Doug Ford.

International student boom and bust? Doug Ford, of course.

Highway 401 tunnel boondoggle.

Greenbelt scandal.

Dismantling local democracy.

Gravy plane.

Metrolinx.

It’s all Doug Ford.",mdruker.app,44,3,19,LEVEL_2_STRUGGLING,2026-04-25T19:09:34.475Z,housing crisis,housing_despair
at://did:plc:oynh32qhgkfomtddsqf46ljf/app.bsky.feed.post/3mk77xkl47k22,"Why is Los Angeles spending millions of dollars fighting to block affordable housing during a housing crisis?

We have the highest rent burdened population in America, the result of years of decisions motivated by politics rather than the needs of Angelenos.

That ends when I’m mayor.",nithyaforthecity.bsky.social,128,2,26,LEVEL_2_STRUGGLING,2026-04-24T00:02:28.303Z,housing crisis,housing_despair
at://did:plc:seop4aezvanh3533cevpvkfj/app.bsky.feed.post/3mk53idzth22u,"Housing costs are crushing Californians. I’ve worked on housing issues my entire career — in Congress, as California’s Monitor after the foreclosure crisis, and as a consumer protection advocate. We need to build more and build faster, and as Governor I will.",katieporterca.bsky.social,162,13,46,LEVEL_1_AWARE,2026-04-23T03:37:03.685Z,housing crisis,housing_despair
at://did:plc:mxqc6fi5nqfh5giucyskyxgv/app.bsky.feed.post/3mkbcwtg6zk2e,visiting some old friends who learned French and moved to Quebec City for cheaper housing. never thought the housing crisis would be the thing that brings the two solitudes a little closer together,grids.reillywood.com,23,0,1,LEVEL_2_STRUGGLING,2026-04-24T20:01:04.725Z,housing crisis,housing_despair
at://did:plc:r6e3iqik5galczwbyqbeohbv/app.bsky.feed.post/3mkczd3oehk2x,Density is key to walkable neighborhoods and to help solve the housing crisis.,reconnectroc.bsky.social,10,1,0,LEVEL_2_STRUGGLING,2026-04-25T12:14:18.095Z,housing crisis,housing_despair
at://did:plc:r5k2b4bxljxptiwpae7daldt/app.bsky.feed.post/3mk5vjaf2bs23,"landlords = housing crisis = more homelessness = public spaces must become a hostile featureless environment to drive homeless people ""somewhere else""",stuartp.bsky.social,44,1,3,LEVEL_3_CRISIS,2026-04-23T11:22:50.700Z,housing crisis,housing_despair
